Index_Number,CE1023,,CS1033,,EE1040,,MA1014,,ME1033,,MT1023,,SGPA,Rank,,,,,,,,,
,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,,,,,,,,,,,
200086U,A,4,A,4,A-,3.7,,,,,N,0,3.0444,613,,,,,,,,Grade,Grade_Point
200121B,B-,2.7,C+,2.3,A-,3.7,,,,,N,0,2.1889,715,,,,,,,,A+,4
200162B,B,3,C-,1.7,A-,3.7,,,,,B,3,2.7222,669,,,,,,,,A,4
200213J,B+,3.3,A,4,B+,3.3,,,,,N,0,2.8000,655,,,,,,,,A-,3.7
200370K,A+,4,B+,3.3,A,4,,,,,N,0,2.8778,639,,,,,,,,B+,3.3
210001R,A+,4,A-,3.7,A,4,,,,,A+,4,3.9000,156,,,,,,,,B,3
210003B,A,4,A,4,B,3,,,,,A+,4,3.7778,244,,,,,,,,B-,2.7
210004E,A,4,A,4,B,3,,,,,A,4,3.7778,244,,,,,,,,C+,2.3
210005H,A+,4,A-,3.7,A+,4,,,,,A+,4,3.9000,156,,,,,,,,C,2
210006L,A,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,C-,1.7
210007P,A,4,C+,2.3,A-,3.7,,,,,A-,3.7,3.3000,534,,,,,,,,D,1
210008U,A,4,B,3,B,3,,,,,A-,3.7,3.3778,501,,,,,,,,F,0
210009A,B,3,A-,3.7,A-,3.7,,,,,A-,3.7,3.5444,402,,,,,,,,I-we,0
210010T,B+,3.3,A,4,A-,3.7,,,,,A,4,3.7778,244,,,,,,,,I-ca,0
210011X,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,N,0
210012C,A+,4,B+,3.3,C+,2.3,,,,,A,4,3.3889,493,,,,,,,,,
210013F,A+,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210014J,A,4,A,4,B,3,,,,,A,4,3.7778,244,,,,,,,,,
210015M,A,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210016R,I-we,0,C+,2.3,B,3,,,,,A,4,2.3222,704,,,,,,,,,
210017V,A,4,A+,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210018B,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210019E,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210020A,B,3,B,3,B,3,,,,,A,4,3.2222,558,,,,,,,,,
210021D,A,4,B-,2.7,B+,3.3,,,,,A,4,3.4111,483,,,,,,,,,
210022G,A+,4,A,4,A-,3.7,,,,,A+,4,3.9333,121,,,,,,,,,
210023K,A+,4,A-,3.7,A-,3.7,,,,,A+,4,3.8333,214,,,,,,,,,
210024N,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210025T,A,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210026X,B,3,A-,3.7,B,3,,,,,A,4,3.4556,457,,,,,,,,,
210027C,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210028F,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210029J,A,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210030E,I-we,0,C+,2.3,B+,3.3,,,,,C+,2.3,2.0111,721,,,,,,,,,
210031H,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210032L,B+,3.3,B,3,B,3,,,,,C+,2.3,2.9111,634,,,,,,,,,
210033P,B+,3.3,C+,2.3,C+,2.3,,,,,B-,2.7,2.6111,681,,,,,,,,,
210034U,A-,3.7,A-,3.7,B+,3.3,,,,,A,4,3.6778,341,,,,,,,,,
210035A,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210036D,B,3,A,4,A,4,,,,,A,4,3.7778,244,,,,,,,,,
210037G,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210038K,A,4,B+,3.3,A,4,,,,,B,3,3.5444,402,,,,,,,,,
210039N,A-,3.7,B,3,A,4,,,,,A-,3.7,3.5333,420,,,,,,,,,
210040J,A-,3.7,B-,2.7,B+,3.3,,,,,B,3,3.1222,593,,,,,,,,,
210041M,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210042R,B+,3.3,B-,2.7,B+,3.3,,,,,A,4,3.2556,549,,,,,,,,,
210043V,B,3,A-,3.7,A,4,,,,,A-,3.7,3.6111,372,,,,,,,,,
