Index No.,Grade
200086U,A
200370K,A+
210005H,A+
210009A,B
210013F,A+
210017V,A
210021D,A
210025T,A
210029J,A
210033P,B+
210037G,A+
210041M,A+
210045E,I-we
210049U,A
210053C,C+
210057R,A
210061A,B
210065N,A+
210069F,A
210074P,A
210078G,A
210082M,A
210086E,A
210090K,A
210094C,C+
210098R,A+
210102D,B+
210106T,A+
210110B,A
210114P,A
210118G,B+
210122M,A
210126E,B
210130K,A
210134C,A
210138R,A
210142A,A+
210146N,A+
210150V,A+
210154L,A-
200121B,B-
210001R,A+
210006L,A
210010T,B+
210014J,A
210018B,A+
210022G,A+
210026X,B
210030E,I-we
210034U,A-
210038K,A
210042R,B+
210046H,B+
210050N,A
210054F,A+
210058V,A+
210062D,I-we
210066T,B+
210070B,A-
210075U,B+
210079K,A
210083R,A-
210087H,A+
210091N,B+
210095F,A
210099V,A
210103G,B+
210107X,A+
210111E,B-
210115U,B
210119K,A-
210123R,B-
210127H,B-
210131N,A+
210135F,B+
210139V,A
210143D,C+
210147T,C+
210151B,A
210155P,F
200162B,B
210003B,A
210007P,A
210011X,A+
210015M,A
210019E,A+
210023K,A+
210027C,A+
210031H,A
210035A,A
210039N,A-
210043V,B
210047L,B
210051T,B+
210055J,A+
210059B,A+
210063G,A+
210067X,A+
210071E,A+
210076A,B
210080F,A
210084V,B+
210088L,A+
210092T,B
210096J,B+
210100U,A
210104K,B
210108C,A
210112H,A+
210116A,A
210120F,F
210124V,A+
210128L,B-
210132T,A
210136J,A+
210140P,A+
210144G,A-
210148X,B-
210152E,A+
210156U,A+
200213J,B+
210004E,A
210008U,A
210012C,A+
210016R,I-we
210020A,B
210024N,A+
210028F,A
210032L,B+
210036D,B
210040J,A-
210044B,B-
210048P,B+
210052X,A
210056M,A+
210060U,A+
210064K,B+
210068C,A
210073L,B+
210077D,A+
210081J,A
210085B,B
210089P,A
210093X,A
210097M,A+
210101A,B-
210105N,B+
210109F,B+
210113L,A
210117D,A-
210121J,B+
210125B,A+
210129P,A+
210133X,A
210137M,A-
210141U,A+
210145K,A-
210149C,A
210153H,A+
210157A,A+
210158D,B-
210162J,A-
210166B,A
210170G,A
210174X,A+
210178M,A+
210182U,A
210186K,A
210190R,A
210194H,A-
210198A,A
210202J,A+
210206B,A+
210210G,A+
210214X,A-
210218M,A+
210222U,A
210226K,B
210230R,A
210234H,A+
210238A,A+
210242F,A
210246V,A
210250D,A+
210254T,A
210258J,A
210262P,A
210266G,A
210270M,B
210275H,A+
210279A,A
210283F,A
210287V,A-
210291D,B+
210295T,C+
210299J,A-
210303U,A+
210307K,A
210311R,A
210315H,A-
210159G,A
210163M,A
210167E,A
210171K,A
210175C,A
210179R,A
210183A,A-
210187N,C+
210191V,A-
210195L,A-
210199D,A+
210203M,A
210207E,A+
210211K,B
210215C,A-
210219R,A
210223A,F
210227N,B
210231V,B
210235L,B
210239D,A
210243J,A+
210247B,A+
210251G,B-
210255X,A
210259M,A-
210263U,A-
210267K,A+
210271R,A
210276L,B
210280T,A-
210284J,B+
210288B,A
210292G,A+
210296X,A+
210300H,C+
210304A,A+
210308N,A-
210312V,A-
210316L,B+
210160C,A
210164R,A
210168H,B+
210172N,A+
210176F,A+
210180L,A+
210184D,A+
210188T,A
210192B,A
210196P,B
210200C,A+
210204R,A+
210208H,B
210212N,A+
210216F,A+
210220L,B-
210224D,A+
210228T,B+
210232B,C+
210236P,A+
210240X,A
210244M,B
210248E,A
210252K,A-
210256C,B-
210260H,B+
210264A,A
210268N,A
210272V,B+
210277P,A+
210281X,A-
210285M,A+
210289E,A
210293K,A+
210297C,A-
210301L,A
210305D,A+
210309T,B+
210313B,A
210317P,B
210161F,A
210165V,B
210169L,A+
210173T,A
210177J,F
210181P,A
210185G,A-
210189X,A+
210193E,C
210197U,A-
210201F,A+
210205V,A+
210209L,A+
210213T,A+
210217J,A+
210221P,A
210225G,A-
210229X,A+
210233E,C
210237U,A
210241C,B
210245R,A
210249H,A
210253N,A+
210257F,A
210261L,A
210265D,A
210269T,A
210273B,A+
210278U,A-
210282C,A+
210286R,B
210290A,A+
210294N,A+
210298F,B+
210302P,A+
210306G,A+
210310M,B
210314E,A-
210318U,A
210319A,B
210323F,B+
210327V,A-
210331D,A-
210335T,A+
210340E,A
210344U,A-
210348K,A-
210352R,A
210356H,A
210360N,B+
210364F,A+
210368V,A+
210372D,A
210376T,A
210380B,C+
210384P,A
210388G,A-
210392M,B-
210396E,A
210400N,A
210404F,A+
210408V,A
210412D,A
210416T,B+
210420B,A
210424P,B-
210428G,B+
210432M,A
210436E,A
210440K,A-
210444C,A+
210448R,B
210452A,A
210456N,B
210460V,A-
210464L,C+
210468D,A+
210472J,A+
210476B,A-
210320T,B+
210324J,A-
210328B,C+
210332G,A
210337C,B
210341H,A
210345A,A-
210349N,A+
210353V,A
210357L,A
210361T,C+
210365J,A-
210369B,A+
210373G,A
210377X,B
210381E,B+
210385U,A
210389K,A-
210393R,A-
210397H,B+
210401T,A+
210405J,A
210409B,A-
210413G,A+
210417X,A+
210421E,A+
210425U,A+
210429K,A+
210433R,A
210437H,A
210441N,A-
210445F,A+
210449V,A
210453D,A
210457T,A
210461B,B+
210465P,A+
210469G,A+
210473M,A
210477E,B
210321X,A+
210325M,A
210329E,A-
210333K,A-
210338F,A
210342L,A-
210346D,A
210350J,A-
210354B,B+
210358P,B+
210362X,A+
210366M,C+
210370U,A-
210374K,B+
210378C,I-we
210382H,A
210386A,A+
210390F,A+
210394V,A-
210398L,A+
210402X,A
210406M,B+
210410U,I-we
210414K,A+
210418C,A
210422H,B
210426A,A
210430F,B
210434V,A
210438L,B+
210442T,A
210446J,A
210450P,A+
210454G,A
210458X,B+
210462E,A
210466U,A
210470C,A
210474R,B+
210478H,I-we
210322C,C+
210326R,B+
210330A,B-
210334N,A-
210339J,A
210343P,A+
210347G,B-
210351M,A
210355E,A-
210359U,B+
210363C,B
210367R,A-
210371A,A+
210375N,B-
210379F,A-
210383L,A
210387D,A
210391J,A+
210395B,B+
210399P,A
210403C,B+
210407R,A
210411A,A-
210415N,A+
210419F,A
210423L,B+
210427D,B
210431J,B
210435B,A
210439P,A
210443X,B
210447M,B+
210451U,A
210455K,I-we
210459C,B+
210463H,A
210467A,A
210471F,A+
210475V,A+
210479L,A+
210480G,B+
210484X,A
210488M,A+
210492U,C+
210496K,A
210500V,A
210504L,A+
210508D,A+
210512J,A-
210516B,C
210520G,A-
210524X,A-
210529R,A-
210533A,B
210537N,A-
210541V,A
210545L,A+
210549D,A+
210553J,A+
210557B,A-
210561G,A
210565X,A
210569M,A-
210573U,A-
210577K,A-
210581R,A
210585H,A
210589A,A
210593F,I-we
210597V,A+
210601G,B-
210605X,A+
210609M,A
210613U,A
210617K,B+
210621R,A+
210625H,A
210629A,A+
210633F,B-
210637V,A
210481K,B+
210485C,A
210489R,A-
210493A,A+
210497N,C+
210501B,A
210505P,B
210509G,A
210513M,A+
210517E,A+
210521K,B+
210525C,B
210530L,A
210534D,A+
210538T,B+
210542B,A+
210546P,B+
210550X,B-
210554M,A+
210558E,C+
210562K,A
210566C,B-
210570H,B
210574A,A+
210578N,B-
210582V,B
210586L,C
210590T,A
210594J,A+
210598B,A-
210602K,A
210606C,B
210610H,A
210614A,A-
210618N,B
210622V,A
210626L,A
210630T,A+
210634J,B-
210638B,B+
210482N,A
210486F,B+
210490L,A-
210494D,A-
210498T,A+
210502E,B-
210506U,A
210510C,B+
210514R,B+
210518H,A
210522N,B+
210527J,A-
210531P,B-
210535G,A+
210539X,B-
210543E,A-
210547U,A
210551C,C+
210555R,C+
210559H,A+
210563N,A-
210567F,A+
210571L,A-
210575D,A
210579T,A+
210583B,A+
210587P,A+
210591X,B
210595M,A
210599E,A+
210603N,A-
210607F,A
210611L,C+
210615D,A
210619T,I-we
210623B,A+
210627P,A
210631X,A-
210635M,B+
210639E,A
210483T,A-
210487J,A
210491P,A+
210495G,A
210499X,A
210503H,A+
210507A,A+
210511F,B+
210515V,A
210519L,B+
210523T,A
210528M,A-
210532U,A
210536K,A+
210540R,A-
210544H,I-we
210548A,B
210552F,A+
210556V,B+
210560D,A
210564T,A-
210568J,B
210572P,A+
210576G,B-
210580M,A
210584E,A
210588U,A
210592C,A
210596R,A
210600D,A
210604T,B-
210608J,A+
210612P,A
210616G,B+
210620M,A+
210624E,A+
210628U,A-
210632C,A-
210636R,A+
210640A,A
210641D,A-
210645T,A
210649J,B+
210653P,A
210657G,A+
210661M,A+
210665E,A+
210669U,A+
210673C,A
210677R,B+
210681A,B
210685N,A+
210689F,A-
210693L,B+
210697D,A
210701M,A
210705E,A-
210709U,B
210713C,B
210717R,A-
210721A,B
210725N,B
210729F,A+
210733L,A+
210737D,C+
210741J,I-we
210745B,A-
210749P,I-we
210804G,C+
210808X,B+
210812E,C+
210816U,B-
210820C,B+
210824R,I-we
210828H,B-
210832N,B
210836F,C+
210840L,C
210844D,C
210848T,C-
210642G,A+
210646X,A
210650E,B-
210654U,A+
210658K,C+
210662R,A
210666H,A
210670N,A
210674F,A
210678V,B-
210682D,A+
210686T,A
210690B,A
210694P,C
210698G,B+
210702R,B
210706H,A-
210710N,A+
210714F,A+
210718V,C+
210722D,A-
210726T,A+
210730B,A
210734P,A+
210738G,A
210742M,A
210746E,I-we
210801U,B-
210805K,C
210809C,B
210813H,I-we
210817A,I-we
210821F,A
210825V,I-we
210829L,B
210833T,C+
210837J,I-we
210841P,B+
210845G,C
210849X,C+
210643K,B+
210647C,A+
210651H,A+
210655A,A+
210659N,A+
210663V,A+
210667L,A-
210671T,B
210675J,A+
210679B,A
210683G,B
210687X,A+
210691E,A
210695U,A+
210699K,A+
210703V,A
210707L,A
210711T,A+
210715J,A
