Index No.,Grade
200162B,B
210005H,A+
210009A,A-
210013F,A
210017V,A+
210021D,A
210025T,A+
210029J,A
210033P,B-
210037G,A
210041M,A+
210045E,C-
210049U,B+
210053C,B-
210057R,A+
210061A,B-
210065N,A
210069F,A
210074P,B+
210078G,A
210082M,A
210086E,B+
210090K,A
210094C,B+
210098R,A+
210102D,A
210106T,A
210110B,A
210114P,A
210118G,B+
210122M,A
210126E,A
210130K,A
210134C,A+
210138R,A-
210142A,A
210146N,A
210150V,A
210154L,A
210158D,B-
210001R,A+
210006L,A
210010T,A
210014J,A
210018B,A
210022G,A+
210026X,A
210030E,C+
210034U,A
210038K,B
210042R,A
210046H,A
210050N,A-
210054F,A
210058V,A+
210062D,I-we
210066T,A-
210070B,B+
210075U,A-
210079K,A
210083R,B+
210087H,A-
210091N,A-
210095F,A
210099V,A-
210103G,B+
210107X,A
210111E,C+
210115U,I-we
210119K,A
210123R,B-
210127H,A
210131N,A+
210135F,A
210139V,A
210143D,A-
210147T,A
210151B,A
210155P,F
210159G,A
210003B,A+
210007P,A-
210011X,A+
210015M,A+
210019E,A
210023K,A+
210027C,A
210031H,A
210035A,A
210039N,A-
210043V,A-
210047L,B-
210051T,A
210055J,A
210059B,A-
210063G,A+
210067X,A
210071E,A+
210076A,A-
210080F,B+
210084V,A-
210088L,A+
210092T,B-
210096J,A
210100U,A
210104K,A
210108C,A
210112H,A
210116A,A
210120F,F
210124V,A
210128L,A-
210132T,A
210136J,A-
210140P,A
210144G,A
210148X,A
210152E,A
210156U,A+
210160C,A
210004E,A
210008U,A-
210012C,A
210016R,A
210020A,A
210024N,A+
210028F,A
210032L,C+
210036D,A
210040J,B
210044B,A
210048P,A
210052X,A
210056M,A-
210060U,A-
210064K,B+
210068C,A
210073L,B-
210077D,A
210081J,A+
210085B,C+
210089P,A+
210093X,A
210097M,A
210101A,A-
210105N,A
210109F,A
210113L,A
210117D,C-
210121J,A
210125B,A
210129P,A+
210133X,A
210137M,A-
210141U,A
210145K,A
210149C,A
210153H,A+
210157A,A+
210161F,A
210162J,B-
210166B,B+
210170G,A
210174X,A+
210178M,A+
210182U,A-
210186K,A-
210190R,A
210194H,A
210198A,A+
210202J,A
210206B,A-
210210G,A+
210214X,B+
210218M,A+
210222U,A
210226K,B
210230R,A-
210234H,A
210238A,A
210242F,A
210246V,A-
210250D,A+
210254T,A+
210258J,A
210262P,A+
210266G,A
210270M,A-
210275H,A
210279A,A
210283F,A-
210287V,B-
210291D,A
210295T,A-
210299J,A-
210303U,A+
210307K,A
210311R,A-
210315H,A-
210319A,B+
210163M,A
210167E,A
210171K,B+
210175C,A+
210179R,A
210183A,A
210187N,C+
210191V,A+
210195L,A+
210199D,A
210203M,A
210207E,A+
210211K,B+
210215C,A
210219R,A
210223A,F
210227N,A-
210231V,B-
210235L,A
210239D,A
210243J,A-
210247B,A
210251G,A
210255X,A
210259M,C+
210263U,B+
210267K,A+
210271R,A
210276L,A
210280T,A
210284J,A
210288B,B-
210292G,A
210296X,A
210300H,A
210304A,A
210308N,B
210312V,A-
210316L,A
210320T,B
210164R,B+
210168H,A-
210172N,A
210176F,A
210180L,A
210184D,B+
210188T,B+
210192B,A
210196P,A
210200C,A+
210204R,A
210208H,C+
210212N,A
210216F,A+
210220L,B
210224D,A+
210228T,B-
210232B,I-ca
210236P,A+
210240X,A-
210244M,B
210248E,A
210252K,A
210256C,A
210260H,B
210264A,A
210268N,B+
210272V,A
210277P,A
210281X,A-
210285M,A
210289E,B+
210293K,A-
210297C,A-
210301L,A
210305D,A
210309T,A-
210313B,A
210317P,A
210321X,A
210165V,A-
210169L,A+
210173T,A
210177J,F
210181P,A
210185G,B+
210189X,A-
210193E,C+
210197U,A+
210201F,A-
210205V,A
210209L,A
210213T,A
210217J,A+
210221P,A
210225G,A-
210229X,A
210233E,C
210237U,A
210241C,B+
210245R,B+
210249H,A-
210253N,A
210257F,A+
210261L,B+
210265D,A
210269T,A
210273B,A
210278U,A-
210282C,B+
210286R,A-
210290A,A
210294N,A-
210298F,B
210302P,A+
210306G,A
210310M,A-
210314E,A+
210318U,A-
210322C,B
210323F,A
210327V,B+
210331D,A
210335T,A
210340E,A+
210344U,A
210348K,A-
210352R,A
210356H,B+
210360N,A-
210364F,A-
210368V,A-
210372D,A
210376T,A+
210380B,A
210384P,A
210388G,C+
210392M,A-
210396E,A+
210400N,A-
210404F,A+
210408V,A
210412D,A
210416T,A-
210420B,B+
210424P,B
210428G,A
210432M,A
210436E,A+
210440K,B-
210444C,B+
210448R,A-
210452A,B
210456N,A
210460V,A
210464L,A
210468D,A
210472J,A
210476B,B+
210480G,A
210324J,B
210328B,A-
210332G,A
210337C,A
210341H,A
210345A,B+
210349N,A
210353V,A-
210357L,A
210361T,A-
210365J,A
210369B,B+
210373G,A
210377X,A-
210381E,A
210385U,A
210389K,A-
210393R,A
210397H,B-
210401T,A-
210405J,B+
210409B,B+
210413G,A
210417X,A
210421E,A+
210425U,A
210429K,A
210433R,A+
210437H,A
210441N,B+
210445F,A
210449V,A
210453D,A+
210457T,A
210461B,A
210465P,A+
210469G,A
210473M,A-
210477E,C
210481K,C+
210325M,A+
210329E,A
210333K,B+
210338F,A
210342L,A
210346D,A
210350J,A
210354B,C
210358P,B+
210362X,A
210366M,C-
210370U,B
210374K,A
210378C,C+
210382H,A-
210386A,A
210390F,A
210394V,A-
210398L,A-
210402X,B+
210406M,A
210410U,C+
210414K,A
210418C,A+
210422H,A
210426A,A
210430F,B+
210434V,A
210438L,B
210442T,A-
210446J,A
210450P,A
210454G,A+
210458X,C
210462E,A
210466U,A+
210470C,A
210474R,A
210478H,C-
210482N,A-
210326R,A-
210330A,B
210334N,A-
210339J,A
210343P,A+
210347G,C+
210351M,A
210355E,A+
210359U,B+
210363C,A
210367R,A
210371A,A
210375N,A
210379F,B-
210383L,A
210387D,A
210391J,A+
210395B,A
210399P,B
210403C,A-
210407R,A
210411A,C+
210415N,A
210419F,A
210423L,A-
210427D,B-
210431J,A-
210435B,A-
210439P,A-
210443X,B+
210447M,B
210451U,A
210455K,B+
210459C,B+
210463H,A+
210467A,A
210471F,A
210475V,A+
210479L,A+
210483T,A
210484X,A
210488M,A
210492U,B-
210496K,B
210500V,A
210504L,A+
210508D,A
210512J,A-
210516B,C-
210520G,A+
210524X,A-
210529R,A
210533A,B
210537N,A
210541V,A-
210545L,A-
210549D,A
210553J,A+
210557B,A
210561G,A
210565X,A-
210569M,A
210573U,B
210577K,A+
210581R,A
210585H,A
210589A,A
210593F,B-
210597V,B+
210601G,A
210605X,A
210609M,A
210613U,A
210617K,A-
210621R,A+
210625H,A+
210629A,A+
210633F,A-
210637V,A
210641D,B
210485C,B+
210489R,A-
210493A,A
210497N,B-
210501B,A-
210505P,B+
210509G,B
210513M,A
210517E,A
210521K,A
210525C,A
210530L,A
210534D,A+
210538T,A
210542B,A+
210546P,A
210550X,B+
210554M,A+
210558E,B+
210562K,A+
210566C,B-
210570H,D
210574A,A+
210578N,B+
210582V,B
210586L,C
210590T,A
210594J,A-
210598B,A
210602K,B+
210606C,A-
210610H,A+
210614A,A-
210618N,A-
210622V,A
210626L,B+
210630T,A
210634J,B-
210638B,A
210642G,A
210486F,A-
210490L,A
210494D,A-
210498T,A+
210502E,B
210506U,A
210510C,B
210514R,C+
210518H,A
210522N,B-
210527J,A-
210531P,A
210535G,A
210539X,B+
210543E,A
210547U,A
210551C,C+
210555R,A
210559H,A-
210563N,I-ca
210567F,A
210571L,A
210575D,A+
210579T,A
210583B,A
210587P,A
210591X,A
210595M,A+
210599E,A
210603N,B+
210607F,A
210611L,A
210615D,A-
210619T,F
210623B,A-
210627P,A
210631X,A
210635M,A
210639E,A
210643K,A-
210487J,A-
210491P,A+
210495G,A
210499X,A-
210503H,A
210507A,A
210511F,A-
210515V,A
210519L,A-
210523T,A
210528M,B
210532U,A-
210536K,A+
210540R,B+
210544H,B-
210548A,B+
210552F,A
210556V,B
210560D,A
210564T,A+
210568J,A-
210572P,A
210576G,B-
210580M,A
210584E,B-
210588U,B+
210592C,A
210596R,A
210600D,A+
210604T,A
210608J,A+
210612P,A
210616G,B+
210620M,A
210624E,A+
210628U,B+
210632C,A
210636R,A-
210640A,A
210644N,A-
210645T,A-
210649J,A
210653P,A-
210657G,A
210661M,A
210665E,A
210669U,A
210673C,A+
210677R,B+
210681A,B
210685N,A+
210689F,A
210693L,B-
210697D,A
210701M,A-
210705E,A-
210709U,B+
210713C,B
210717R,A
210721A,A
210725N,C+
210729F,B-
210733L,A
210737D,B-
210741J,C+
210745B,A
210749P,C-
210804G,C+
210808X,A-
210812E,C+
210816U,C+
210820C,B+
210824R,C-
210828H,A-
210832N,B
210836F,C
210840L,B+
210844D,B-
210848T,C-
210852B,B+
210646X,B+
210650E,B+
210654U,A-
210658K,C+
210662R,A-
210666H,A-
210670N,A
210674F,A-
210678V,B
210682D,A+
210686T,A
210690B,A
210694P,B+
210698G,B-
210702R,A
210706H,B+
210710N,A+
210714F,A
210718V,C
210722D,B-
210726T,A
210730B,A
210734P,A
210738G,B+
210742M,A
210746E,B-
210801U,B
210805K,B
210809C,C-
210813H,C
210817A,B
210821F,B+
210825V,C
210829L,B
210833T,B
210837J,C-
210841P,A-
210845G,C+
210849X,B+
210853E,C+
210647C,A
210651H,A
210655A,A
210659N,A
210663V,A
210667L,A
210671T,B+
210675J,A-
210679B,A
210683G,B+
210687X,A+
210691E,A
210695U,A-
210699K,A
210703V,A
210707L,A
210711T,A+
210715J,A
210719B,A
210723G,A-
210727X,B+
210731E,I-we
210735U,A
210739K,B-
210743R,B+
210747H,A-
210802A,B
210806N,A-
210810V,C
210814L,I-we
210818D,B-
210822J,D
210826B,B+
210830G,C+
210834X,C
210838M,C-
210842U,A-
210846K,C
210850R,B-
210854H,F
210648F,A
210652L,A+
210656D,B+
210660J,B+
210664B,A
210668P,A
210672X,B
210676M,A+
210680U,F
210684K,A-
210688C,A
210692H,B-
210696A,A
210700J,A
210704B,A-
210708P,B+
210712X,B-
210716M,A
210720U,A+
210724K,A
210728C,A
210732H,A
210736A,B+
210740F,A-
210744V,B-
210748L,B+
210803D,I-ca
210807T,C+
210811B,B
210815P,C+
210819G,B+
210823M,A-
210827E,C
210831K,F
210835C,I-ca
210839R,I-we
210843A,C
210847N,C+
210851V,F
210855L,B-
210856P,B-
210860X,C
210864M,B-
210868E,F
210872K,C-
210876C,C+
210880H,I-ca
210884A,B-
210888N,B
210892V,B+
211001B,D
211005P,B-
211009G,I-we
211013M,B+
211017E,B
211021K,F
211025C,B+
211029R,B
211034D,B-
211039X,B+
211043E,C
211047U,B
211051C,A
211055R,B
211059H,A-
211064T,C
211068J,D
211072P,A-
211077K,C+
211082V,A
211086L,B-
211090T,B
211095M,D
211099E,D
211103N,I-we
211107F,C-
200076N,C
200261D,C
200461P,F
200808M,I
210857U,B+
210861C,B
210865R,B+
210869H,B+
210873N,B
210877F,A-
210881L,A-
210885D,B
210889T,B
210893B,B
211002E,C+
211006U,B+
211010C,B
211014R,I-ca
211018H,B
211022N,C+
211026F,A-
211030L,B+
211036K,B+
211040R,B
211044H,B-
211048A,A-
211052F,C
211056V,B
211060D,B
211065X,B-
211069M,C+
211073U,B
211079T,C
211083B,C-
211087P,D
211091X,C+
211096R,B
211100D,A
211104T,D
211108J,C-
200200R,C
200288P,C-
200609E,C
200811P,C
210858A,A
210862F,B
210866V,C-
210870D,F
210874T,B
210878J,C+
210882P,F
210886G,C-
210890M,B-
210894E,B
211003H,C-
211007A,C-
211011F,B-
211015V,B
211019L,C+
211023T,B
211027J,I-ca
211031P,B-
211037N,C+
211041V,C+
211045L,C+
211049D,B+
211053J,B+
211057B,C+
211061G,B-
211066C,B-
211070H,C+
211074A,B-
211080M,I-we
211084E,C+
211088U,B+
211092C,F
211097V,B
211101G,I-ca
211105X,F
211109M,B-
200252C,F
200329U,C-
200620E,C
200816K,C
210859D,C-
210863J,B-
210867B,B-
210871G,C+
210875X,B+
210879M,B
210883U,C-
210887K,B+
210891R,C+
210895H,I-we
211004L,B
211008D,B
211012J,D
211016B,B
211020G,C-
211024X,B+
211028M,B
211033A,B
211038T,F
211042B,C+
211046P,B+
211050X,C
211054M,B+
211058E,I-ca
211063N,B
211067F,D
211071L,B-
211076G,F
211081R,B
211085H,B+
211089A,B
211094J,C
211098B,B+
211102K,B-
211106C,C
211110H,C-
200253F,I-we
200408L,I
200802N,I
200819X,C
200821V,C
201026V,I
200847F,C
201033N,C
200850H,C
201063F,D
201023J,C
201089N,C
