,Index No.,Mech,CS,Fluid,Maths,Material,Electric,SGPA,Rank
562,210624E,A+,A+,A+,A+,A+,A+,4.0,1.0
110,210129P,A+,A,A+,A+,A+,A+,4.0,1.0
210,210236P,A+,A+,A+,A,A+,A+,4.0,1.0
215,210242F,A,A,A,A,A,A+,4.0,1.0
375,210418C,A,A,A,A+,A+,A,4.0,1.0
644,210720U,A+,A+,A+,A+,A+,A+,4.0,1.0
243,210273B,A+,A+,A+,A+,A,A+,4.0,1.0
474,210523T,A+,A,A,A+,A,A,4.0,1.0
66,210077D,A+,A+,A+,A,A,A,4.0,1.0
615,210685N,A+,A+,A+,A,A+,A,4.0,1.0
613,210682D,A+,A,A+,A,A+,A+,4.0,1.0
444,210491P,A+,A,A+,A,A+,A+,4.0,1.0
87,210100U,A+,A,A,A,A,A,4.0,1.0
461,210508D,A+,A+,A+,A+,A,A,4.0,1.0
457,210504L,A+,A,A+,A,A+,A+,4.0,1.0
305,210343P,A+,A+,A+,A,A+,A+,4.0,1.0
603,210668P,A+,A,A,A,A,A,4.0,1.0
259,210292G,A+,A,A+,A+,A,A+,4.0,1.0
313,210351M,A,A,A,A,A,A,4.0,1.0
193,210218M,A,A+,A+,A,A+,A,4.0,1.0
501,210553J,A,A,A+,A+,A+,A,4.0,1.0
372,210415N,A+,A,A+,A,A,A,4.0,1.0
566,210629A,A+,A,A+,A+,A+,A,4.0,1.0
361,210404F,A+,A+,A+,A+,A+,A,4.0,1.0
172,210198A,A+,A,A,A,A+,A+,4.0,1.0
136,210157A,A+,A+,A+,A+,A+,A+,4.0,1.0
420,210465P,A,A+,A+,A,A+,A+,4.0,1.0
522,210579T,A+,A,A+,A,A,A+,4.0,1.0
192,210218M,A,A+,A+,A,A+,A,4.0,1.0
519,210574A,A+,A,A+,A,A+,A,4.0,1.0
133,210153H,A+,A,A+,A,A+,A,4.0,1.0
176,210202J,A+,A,A+,A,A,A+,4.0,1.0
592,210655A,A,A,A+,A,A,A,4.0,1.0
181,210207E,A,A,A+,A,A+,A,4.0,1.0
190,210216F,A,A,A+,A,A+,A,4.0,1.0
502,210554M,A+,A,A+,A,A+,A+,4.0,1.0
617,210687X,A+,A,A+,A,A+,A+,4.0,1.0
191,210217J,A,A,A+,A,A+,A+,4.0,1.0
518,210572P,A+,A,A+,A,A,A+,4.0,1.0
333,210372D,A+,A,A,A,A,A,4.0,1.0
605,210670N,A,A+,A,A,A,A-,3.957142857142857,2.0
606,210670N,A,A+,A,A,A,A-,3.957142857142857,2.0
229,210258J,A-,A,A,A,A,A,3.957142857142857,2.0
21,210022G,A+,A,A+,A+,A+,A-,3.957142857142857,2.0
135,210156U,A-,A,A+,A,A+,A+,3.957142857142857,2.0
153,210178M,A+,A,A+,A,A+,A-,3.957142857142857,2.0
619,210690B,A+,A,A,A,A,A-,3.957142857142857,2.0
267,210302P,A+,A,A+,A-,A+,A+,3.935714285714286,3.0
167,210192B,A+,A,A,A-,A,A+,3.935714285714286,3.0
374,210417X,A+,A,A+,A-,A,A+,3.935714285714286,3.0
