Index No.,Mech,CS,Fluid,Maths,Material,Electric
200162B,D,C-,B,C,B,B+
200620E,B+,A-,B,C,C,B
210001R,A,A-,A+,A-,A+,A
210003B,A+,A,A,A-,A+,B
210004E,B+,A,A,B+,A,B
210005H,A,A-,A+,A,A+,A+
210006L,B+,A,A,C,A,B+
210007P,B+,C+,A,C+,A-,A-
210008U,B+,B,A,C+,A-,B
210009A,A-,A-,B,C+,A-,A-
210010T,A-,A,B+,C+,A,A-
210011X,A,A,A+,B,A+,A+
210012C,B-,B+,A+,C,A,C+
210013F,A+,B+,A+,B+,A,A-
210014J,B+,A,A,A,A,B
210015M,A,A,A,B,A+,A
210016R,C,C+,I-we,C,A,B
210018B,A+,A,A+,B+,A,A
210019E,A,A,A+,B,A,A-
210020A,B,B,B,C+,A,B
210021D,A-,B-,A,B-,A,B+
210022G,A+,A,A+,A+,A+,A-
210023K,A+,A-,A+,B,A+,A-
210024N,A+,A,A+,A-,A+,A
210025T,A,A,A,B+,A+,A
210026X,B-,A-,B,B,A,B
210027C,A+,A,A+,B+,A,A
210028F,A-,A-,A,B,A,A
210029J,A,A,A,B,A,B+
210030E,B-,C+,I-we,C,C+,B+
210031H,A,A,A,A-,A,A+
210032L,B+,B,B+,C,C+,B
210033P,B,C+,B+,B,B-,C+
210035A,A,A,A,B,A,A+
210036D,B-,A,B,B-,A,A
210037G,A,A,A+,B,A,A-
210038K,A-,B+,A,B-,B,A
210039N,B,B,A-,B-,A-,A
210041M,A+,A,A+,B,A+,A
210042R,C+,B-,B+,C,A,B+
210044B,B-,A-,B-,B,A,B
210045E,C-,D,I-we,C,C-,C+
210046H,B+,B,B+,B,A,A-
210048P,B-,A-,B+,C+,A,A
210049U,A+,B+,A,B-,B+,A
210049U,A+,B+,A,B-,B+,A
210050N,B-,B,A,B,A-,B+
210051T,A-,B+,B+,B,A,B+
210052X,A+,A,A,B,A,A-
210053C,B-,C,C+,C,B-,B-
210055J,A,B+,A+,A-,A,A
210056M,B,B+,A+,B,A-,B+
210057R,A,A,A,C+,A+,A-
210059B,A,A-,A+,B,A-,A
210059B,A,A-,A+,B,A-,A
210060U,A+,A,A+,B,A-,B+
210061A,C+,C,B,C+,B-,B
210063G,A,A,A+,B,A+,A+
210065N,A,B+,A+,B-,A,A
210066T,B+,A-,B+,B,A-,A-
210067X,A-,B,A+,B,A,A
210067X,A-,B,A+,B,A,A
210069F,A,A,A,B-,A,A
210071E,A,A,A+,B+,A+,A+
210073L,A-,C+,B+,C+,B-,B
210074P,B-,C+,A,C,B+,B-
210077D,A+,A+,A+,A,A,A
210079K,A,B+,A,B+,A,A
210080F,A-,B,A,C+,B+,B
210082M,A+,B+,A,C+,A,B+
210083R,A-,B+,A-,B-,B+,B+
210084V,B,C+,B+,B-,A-,B+
210085B,C+,B-,B,B-,C+,B+
210086E,A,A,A,B,B+,A-
210087H,A+,A-,A+,A-,A-,B
210087H,A+,A-,A+,A-,A-,B
210088L,A+,A,A+,B,A+,A
210089P,B+,A,A,B+,A+,A+
210090K,B+,B+,A,B-,A,A
210091N,C+,B,B+,C,A-,A
210093X,C+,B+,A,B-,A,A
210094C,B-,C+,C+,I-we,B+,B-
210095F,A+,A-,A,B+,A,A
210096J,A,A,B+,C+,A,B+
210097M,A,B+,A+,A-,A,A
210098R,A+,A-,A+,B-,A+,A-
210099V,B+,A,A,B-,A-,A-
210100U,A+,A,A,A,A,A
210101A,C+,C-,B-,I-we,A-,B-
210102D,A,A-,B+,B,A,A-
210103G,A-,B-,B+,B-,B+,I-we
210104K,C+,B+,B,B,A,A
210105N,B-,B-,B+,C+,A,B+
210106T,A,A,A+,B,A,A+
210108C,A,A,A,B+,A,A+
210109F,A-,A-,B+,B+,A,A
210110B,B+,A-,A,B-,A,A
210112H,A+,A,A+,B-,A,A+
210113L,A-,A-,A,C+,A,A+
210114P,A,B,A,C+,A,B+
210115U,C-,B-,B,C+,I-we,B
210116A,A,A-,A,B-,A,B+
210117D,A,C+,A-,C,C-,B
210118G,C+,B,B+,B-,B+,B
210119K,A,A,A-,B+,A,A-
210122M,A,B+,A,C+,A,A-
210125B,B+,A,A+,C+,A,A-
210126E,A-,B,B,C+,A,A-
210127H,A-,B-,B-,B-,A,B
210128L,A,C+,B-,B-,A-,A-
210129P,A+,A,A+,A+,A+,A+
210130K,A-,B,A,B,A,B+
210131N,A+,A,A+,B+,A+,A
210132T,C,B,A,C,A,B
210134C,A,A,A,B,A+,A-
210135F,A-,B,B+,C+,A,B-
210136J,B,B+,A+,B,A-,B
210137M,B,B-,A-,B-,A-,B-
210138R,A,B+,A,C+,A-,A
210138R,A,B+,A,C+,A-,A
210139V,B,B+,A,C+,A,A
210140P,A+,A,A+,B+,A,A
210141U,A+,A,A+,B+,A,A+
210142A,A-,B-,A+,C+,A,B+
210143D,B+,C+,C+,C+,A-,C+
210145K,B,B+,A-,C+,A,C
210146N,A+,A,A+,B+,A,B+
210147T,B,C+,C+,B-,A,C+
210148X,B,B,B-,C,A,B+
210149C,A-,A,A,C+,A,B+
210150V,A,B,A+,A,A,A-
210151B,A,A-,A,B,A,A-
210152E,A,A-,A+,B+,A,A-
210153H,A+,A,A+,A,A+,A
210154L,A-,B,A-,C+,A,A-
210156U,A-,A,A+,A,A+,A+
210157A,A+,A+,A+,A+,A+,A+
210158D,B-,B,B-,C,B-,B+
210159G,A,A-,A,C+,A,A
210160C,A,A-,A,B+,A,B
210163M,A,B,A,B,A,A-
210164R,A,B-,A,B,B+,B
210166B,A,B-,A,B+,B+,A
210167E,A,A,A,B,A,C+
210168H,A,B,B+,C+,A-,B
210169L,A+,A-,A+,B+,A+,B+
210170G,A+,A-,A,B,A,B+
210171K,A,B+,A,B,B+,B+
210172N,A+,A,A+,B,A,A-
210172N,A+,A,A+,B,A,A-
210173T,A+,A+,A,B,A,A
210175C,A+,A-,A,A-,A+,A
210176F,A-,A,A+,C+,A,A-
210178M,A+,A,A+,A,A+,A-
210179R,A,A,A,B,A,B+
210180L,A+,A,A+,B-,A,A-
210181P,B+,B+,A,B-,A,A-
210182U,A-,B,A,C+,A-,B-
210183A,A,A-,A-,B+,A,A
210184D,A,B,A+,B,B+,B
210185G,A,B-,A-,B,B+,B+
210186K,B,A,A,C,A-,A
210187N,B-,B-,C+,I-we,C+,C+
210188T,C+,B,A,C,B+,B-
210189X,A,A,A+,B,A-,B+
210190R,A,A,A,A,A,B+
210191V,C,B+,A-,B,A+,B
210192B,A+,A,A,A-,A,A+
210194H,B,A-,A-,B-,A,A
210195L,B,A,A-,B,A+,A+
210196P,A+,B,B,B,A,A
210197U,B+,A-,A-,A-,A+,A-
210198A,A+,A,A,A,A+,A+
210199D,A-,A-,A+,A-,A,A
210200C,A,A+,A+,B,A+,A+
210201F,A,A,A+,C+,A-,B+
210202J,A+,A,A+,A,A,A+
210203M,A,B,A,A-,A,B-
210204R,A+,B+,A+,A+,A,A-
210205V,A,A-,A+,A-,A,A
210206B,A,A,A+,B+,A-,A
210207E,A,A,A+,A,A+,A
210208H,B+,C+,B,B-,C+,B-
210209L,A,A-,A+,B+,A,B
210210G,A+,A-,A+,A-,A+,B+
210211K,B+,B+,B,B,B+,B+
210212N,A,A-,A+,B+,A,A
210213T,B+,A-,A+,B+,A,B+
210214X,B+,B+,A-,B-,B+,B
210215C,A,B+,A-,A,A,A
210216F,A,A,A+,A,A+,A
210217J,A,A,A+,A,A+,A+
210218M,A,A+,A+,A,A+,A
210218M,A,A+,A+,A,A+,A
210219R,A,A-,A,B-,A,A
210221P,A,B-,A,B-,A,A-
210222U,A,A,A,B-,A,A
210224D,A+,A,A+,B+,A+,A
210225G,A,B-,A-,B+,A-,B+
210226K,B+,B+,B,B,B,B+
210227N,B,B,B,C+,A-,A-
210228T,B,B,B+,B-,B-,B-
210229X,B+,A-,A+,B-,A,B+
210230R,B,C-,A,C-,A-,B-
210231V,A-,B-,B,C,B-,B-
210232B,Fail and Below,I-we,C+,I-we,I-ca,I-we
210232B,Fail and Below,I-we,C+,I-we,I-ca,I-we
210234H,A,A-,A+,B+,A,A
210235L,C+,C+,B,B,A,A
210235L,C+,C+,B,B,A,A
210236P,A+,A+,A+,A,A+,A+
210237U,A,B+,A,C+,A,A
210238A,B+,A-,A+,B,A,A
210240X,A,B+,A,B,A-,A
210241C,A-,B,B,B-,B+,B
210242F,A,A,A,A,A,A+
210243J,A,A-,A+,A,A-,A
210244M,B-,B+,B,B,B,B
210246V,A,B,A,B+,A-,B+
210247B,A,B+,A+,A-,A,A
210248E,A,B+,A,B,A,A-
210249H,A+,A-,A,B+,A-,A-
210249H,A+,A-,A,B+,A-,A-
210250D,A+,A,A+,A-,A+,A
210253N,A,A,A+,B,A,A-
210254T,A-,A,A,A,A+,B+
210255X,A-,B+,A,C+,A,A-
210256C,C+,A-,B-,B-,A,A
210257F,A,A-,A,B-,A+,A+
210258J,A-,A,A,A,A,A
210260H,A,B-,B+,B,B,A
210261L,B,B,A,C+,B+,B+
210262P,A,A+,A,B,A+,A
210263U,C+,C+,A-,C,B+,C+
210264A,A,B,A,B,A,A
210265D,A,B+,A,B-,A,A
210266G,A,A-,A,B,A,B
210267K,A,A,A+,B,A+,A-
210268N,A-,C+,A,B-,B+,A-
210269T,B+,B-,A,C+,A,B+
210270M,A-,B+,B,B-,A-,C+
210271R,A,B,A,C+,A,A
210272V,A,A,B+,A-,A,A+
210273B,A+,A+,A+,A+,A,A+
210275H,A,B+,A+,B-,A,A
210275H,A,B+,A+,B-,A,A
210276L,A,B+,B,C+,A,A-
210277P,A,A-,A+,C+,A,B+
210280T,A-,B,A-,A,A,A-
210281X,C+,I-we,A-,C,A-,B-
210282C,A,B+,A+,A,B+,A
210283F,B,B,A,B-,A-,A
210284J,A+,A-,B+,B+,A,A
210285M,A,B+,A+,A,A,A-
210286R,B+,B+,B,C+,A-,B+
210288B,A-,C+,A,C,B-,B
210289E,B-,B+,A,C+,B+,A-
210290A,A,B+,A+,B+,A,A
210291D,A,B+,B+,B-,A,B+
210292G,A+,A,A+,A+,A,A+
210293K,A,A,A+,A-,A-,B+
210294N,A,A-,A+,A-,A-,A
210295T,A-,B,C+,C+,A-,A-
210296X,A+,A-,A+,B,A,A-
210297C,A-,A-,A-,C+,A-,B
210299J,A,A-,A-,B-,A-,A
210300H,A,B-,C+,C+,A,A-
210302P,A+,A,A+,A-,A+,A+
210303U,A+,A,A+,B+,A+,A+
210304A,B+,B+,A+,C,A,B-
210305D,A-,B-,A+,C+,A,B-
210306G,A+,A,A+,B,A,A
210307K,A-,A-,A,B-,A,A-
210308N,C,B,A-,C+,B,B+
210309T,A,B+,B+,A-,A-,B+
210310M,A-,B+,B,B+,A-,A-
210311R,B,A-,A,C+,A-,B-
210312V,C+,A-,A-,B-,A-,C+
210314E,B+,A,A-,B,A+,B
210316L,B+,B+,B+,C+,A,A-
210317P,A,B-,B,B,A,B
210318U,B,B+,A,C+,A-,A
210319A,B-,C,B,I-we,B+,A
210319A,B-,C,B,I-we,B+,A
210320T,A-,B+,B+,C+,B,A-
210323F,B+,B+,B+,B-,A,B
210324J,B+,B+,A-,B,B,A+
210325M,A+,A,A,A-,A+,A
210326R,A,A-,B+,A-,A-,B+
210327V,A,B,A-,B,B+,B+
210328B,B+,C,C+,B-,A-,B-
210329E,A,A,A-,B-,A,A
210330A,A-,C+,B-,B,B,B+
210331D,A,B,A-,B-,A,A-
210332G,A-,C+,A,B-,A,B+
210333K,A,A-,A-,B+,B+,B
210333K,A,A-,A-,B+,B+,B
210334N,A-,B+,A-,B,A-,A
210335T,A+,A,A+,A-,A,B
210337C,B+,B,B,A-,A,B+
210338F,B+,B-,A,B+,A,B+
210339J,A,B,A,B-,A,A
210340E,B+,A,A,B,A+,A
210341H,A,B+,A,A-,A,A-
210342L,A,A,A-,B+,A,B
210343P,A+,A+,A+,A,A+,A+
210345A,C+,C,A-,C,B+,B-
210346D,A+,B+,A,A,A,A-
210347G,B+,C,B-,C+,C+,B
210347G,B+,C,B-,C+,C+,B
210348K,B+,C+,A-,C+,A-,A-
210349N,A,A,A+,B+,A,A
210350J,A,A,A-,B-,A,A
210351M,A,A,A,A,A,A
210353V,A,B+,A,B+,A-,A
210354B,B+,C+,B+,C+,C,B
210355E,A,B+,A-,A-,A+,A-
210356H,B,B-,A,B+,B+,B+
210357L,B-,A-,A,C,A,B
210358P,A-,C+,B+,B-,B+,B+
210359U,B+,C+,B+,B-,B+,B+
210359U,B+,C+,B+,B-,B+,B+
210360N,B,B+,B+,C+,A-,A-
210361T,C+,B+,C+,C,A-,B
210362X,A,A,A+,B+,A,A-
210363C,B+,A,B,B+,A,A
210364F,A+,A-,A+,A,A-,A
210365J,B+,B+,A-,B+,A,A
210366M,C-,I-we,C+,I-we,C-,I-we
210367R,B+,B,A-,B-,A,A
210368V,A+,A-,A+,A,A-,A
210369B,A-,A-,A+,A-,B+,B-
210371A,A+,A-,A+,A-,A,A
210372D,A+,A,A,A,A,A
210373G,A,A,A,B,A,B+
210374K,A-,B+,B+,B,A,A-
210375N,B-,A-,B-,B-,A,A-
210376T,B,B+,A,B-,A+,A
210377X,B,B+,B,B,A-,B+
210378C,C+,B+,I-we,C,C+,C
210379F,C+,B-,A-,C-,B-,C+
210380B,A-,B-,C+,C+,A,A-
210381E,B+,B+,B+,B-,A,B+
210382H,A-,B,A,B+,A-,A-
210383L,A-,A-,A,B,A,B+
210384P,A,A-,A,C+,A,B
210385U,A+,A-,A,B,A,A
210386A,A,A,A+,B+,A,A+
210387D,A+,A-,A,B+,A,A+
210388G,A-,C,A-,C+,C+,B+
210389K,B+,B-,A-,C+,A-,A-
210391J,A,A,A+,B,A+,A
210392M,B+,B+,B-,B-,A-,A-
210393R,B-,A-,A-,B+,A,B-
210394V,A-,B+,A-,B,A-,A-
210395B,A-,B,B+,C+,A,B+
210396E,A,B,A,B+,A+,A
210397H,C,B-,B+,C,B-,C+
210399P,B-,B,A,C,B,B
210400N,A,A-,A,A,A-,A-
210402X,A+,B,A,B,B+,A-
210404F,A+,A+,A+,A+,A+,A
210405J,A-,B+,A,C+,B+,B+
210406M,A,A,B+,A-,A,A
210407R,A,A-,A,B-,A,A
210408V,A,A-,A,B,A,B+
210409B,B,B,A-,B-,B+,B
210410U,B,B,I-we,B-,C+,B+
210411A,A,C,A-,C+,C+,A-
210412D,A,B+,A,B+,A,B+
210413G,A,A,A+,C+,A,A-
210414K,A,B-,A+,C+,A,A-
210415N,A+,A,A+,A,A,A
210416T,B,B-,B+,C+,A-,B+
210417X,A+,A,A+,A-,A,A+
210418C,A,A,A,A+,A+,A
210419F,A+,A,A,C+,A,A-
210420B,A-,A-,A,B-,B+,B+
210421E,A-,A-,A+,A-,A+,A
210421E,A-,A-,A+,A-,A+,A
210422H,A,A,B,B,A,A
210423L,B+,B,B+,C+,A-,B
210424P,C+,C+,B-,C+,B,B-
210425U,A,A,A+,B,A,A
210426A,A,C+,A,B,A,A-
210427D,A,B-,B,B+,B-,B+
210428G,A,C+,B+,B-,A,A-
210429K,A+,A-,A+,B,A,A
210430F,C+,B-,B,C+,B+,B
210431J,B-,B,B,B-,A-,A
210431J,B-,B,B,B-,A-,A
210433R,A,A,A,B,A+,A
210434V,A+,A,A,B+,A,A+
210435B,A,B+,A,B+,A-,A
210436E,A+,A,A,B,A+,B
210438L,B,B,B+,C,B,B-
210439P,A,B-,A,B+,A-,A
210440K,B,B+,A-,C+,B-,B
210441N,B+,C+,A-,C+,B+,A-
210442T,A,B+,A,B+,A-,A-
210443X,A,C+,B,B-,B+,A
210444C,B+,C+,A+,A,B+,B
210445F,A,B+,A+,B-,A,B+
210446J,A+,A+,A,A-,A,A+
210447M,B-,B-,B+,B-,B,A-
210448R,A-,B,B,A-,A-,B+
210449V,A,B+,A,B+,A,B
210450P,A,A-,A+,A-,A,A+
210451U,A+,A-,A,A-,A,A
210452A,A-,A-,A,B-,B,A-
210453D,A,A,A,C+,A+,A-
210454G,A,A,A,B+,A+,A+
210456N,A,B,B,B-,A,A
210457T,B+,A,A,C+,A,A
210458X,B+,C+,B+,I-we,C,C+
210460V,A+,A-,A-,B,A,A-
210461B,B-,B,B+,C+,A,A-
210462E,A-,A,A,B-,A,A
210462E,A-,A,A,B-,A,A
210464L,B+,A-,C+,B-,A,B+
210465P,A,A+,A+,A,A+,A+
210466U,A+,A,A,C+,A+,A+
210467A,A-,A,A,B,A,A
210469G,A+,B+,A+,A,A,A+
210470C,B+,A,A,B-,A,A
210471F,A+,A,A+,B+,A,A+
210473M,A,B,A,C+,A-,A
210474R,A,A,B+,B+,A,A+
210475V,A,B,A+,B-,A+,B+
